index,age,euducation_level,job,marital,have_credit_card,have_housing_loan,have_personal_loan,connect_method,previous_connect_month,previous_connect_weekday,campaign_connect_times,after_campaign_connect_day,before_campaign_connect_times,last_campaign_outcomes,employment_rate,consumer_price_index,consumer_confidence_index,label
0,39,high,employment,married,no,no,no,cellular,November,Tuesday,1,-1,0,nonexistent,59.9,93.2,-42,0
1,26,medium,employment,single,no,yes,no,telephone,April,Wednesday,3,-1,0,nonexistent,58.2,93.075,-47.1,1
2,29,high,employment,married,no,yes,no,telephone,June,Wednesday,4,-1,0,nonexistent,61.4,94.465,-41.8,1
3,57,medium,employment,married,unknown,yes,no,telephone,May,Thursday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
4,23,high,employment,single,no,yes,no,cellular,Octobor,Friday,1,-1,0,nonexistent,56.6,92.431,-26.9,1
5,52,low,employment,married,unknown,yes,no,cellular,July,Friday,1,-1,0,nonexistent,61.4,93.918,-42.7,1
6,51,medium,employment,married,no,no,yes,cellular,November,Tuesday,2,-1,1,failure,59.9,93.2,-42,0
7,35,low,employment,single,unknown,yes,no,telephone,June,Monday,1,-1,0,nonexistent,61.4,94.465,-41.8,0
8,52,high,employment,married,unknown,no,no,cellular,August,Wednesday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
9,49,high,employment,married,no,no,no,telephone,May,Wednesday,3,-1,0,nonexistent,61.1,93.994,-36.4,0
10,36,low,employment,married,unknown,yes,no,telephone,June,Wednesday,1,-1,0,nonexistent,61.4,94.465,-41.8,0
11,52,medium,employment,married,no,yes,no,telephone,July,Thursday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
12,47,medium,employment,married,no,yes,no,telephone,May,Tuesday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
13,32,high,employment,single,no,yes,yes,cellular,July,Thursday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
14,28,high,unemployed,married,no,yes,no,cellular,August,Friday,3,-1,1,failure,57.1,92.201,-31.4,1
15,23,medium,student,single,no,yes,no,cellular,May,Wednesday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
16,31,medium,employment,married,no,yes,yes,cellular,May,Monday,1,-1,0,nonexistent,58.2,92.893,-46.2,1
17,43,medium,employment,married,no,yes,no,cellular,August,Friday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
18,32,high,employment,divorced,no,no,no,cellular,May,Tuesday,3,-1,0,nonexistent,58.2,92.893,-46.2,0
19,51,high,employment,married,no,yes,no,telephone,May,Thursday,3,-1,0,nonexistent,61.1,93.994,-36.4,0
20,29,medium,employment,married,no,yes,yes,cellular,November,Thursday,1,-1,0,nonexistent,59.9,93.2,-42,0
21,31,high,unemployed,married,no,no,no,cellular,August,Tuesday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
22,36,high,employment,married,no,yes,no,cellular,August,Friday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
23,48,low,employment,married,unknown,no,yes,cellular,August,Thursday,3,-1,0,nonexistent,61.4,93.444,-36.1,0
24,48,medium,employment,married,no,yes,yes,cellular,November,Friday,3,-1,0,nonexistent,59.9,93.2,-42,1
25,31,high,employment,divorced,no,no,no,cellular,August,Tuesday,2,-1,0,nonexistent,61.4,93.444,-36.1,0
26,30,high,employment,single,no,no,no,cellular,June,Thursday,1,-1,0,nonexistent,58.3,94.055,-39.8,0
27,32,high,employment,divorced,no,no,yes,telephone,June,Tuesday,21,-1,0,nonexistent,61.4,94.465,-41.8,0
28,88,low,retired,divorced,no,yes,no,cellular,March,Wednesday,6,-1,0,nonexistent,58.2,92.843,-50,0
29,36,medium,employment,married,no,no,no,telephone,May,Friday,2,-1,1,failure,58.2,92.893,-46.2,0
30,39,low,employment,married,unknown,no,no,cellular,May,Monday,2,-1,0,nonexistent,58.2,92.893,-46.2,1
31,32,high,employment,married,no,yes,no,cellular,August,Monday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
32,36,medium,employment,married,no,yes,yes,cellular,April,Monday,1,-1,0,nonexistent,58.2,93.075,-47.1,0
33,29,high,employment,single,no,yes,no,cellular,August,Wednesday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
34,31,high,employment,single,no,yes,no,telephone,July,Friday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
35,44,low,employment,married,no,yes,no,cellular,July,Wednesday,5,-1,0,nonexistent,61.4,93.918,-42.7,0
36,36,high,employment,married,unknown,yes,no,telephone,May,Tuesday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
37,38,high,employment,divorced,no,yes,no,cellular,April,Tuesday,2,-1,0,nonexistent,58.2,93.075,-47.1,1
38,24,high,student,married,no,no,no,telephone,May,Tuesday,3,-1,0,nonexistent,61.1,93.994,-36.4,0
39,39,medium,employment,married,unknown,no,no,telephone,June,Monday,1,-1,0,nonexistent,61.4,94.465,-41.8,0
40,32,medium,employment,married,no,yes,yes,cellular,August,Tuesday,3,-1,0,nonexistent,61.4,93.444,-36.1,0
41,31,high,employment,married,no,yes,yes,cellular,June,Monday,3,-1,1,nonexistent,57.1,92.963,-40.8,1
42,31,medium,employment,married,no,no,no,cellular,July,Friday,8,-1,0,nonexistent,58.3,94.215,-40.3,0
